director_name,full_urls
Karim Aïnouz,imdb.com/name/nm0014694/?ref_=sr_t_1
Marcelo Gomes,imdb.com/name/nm1103123/?ref_=sr_t_1
Lucien Castaing-Taylor,imdb.com/name/nm3626583/?ref_=sr_t_1
Verena Paravel,imdb.com/name/nm4045090/?ref_=sr_t_1
Mike Mills,imdb.com/name/nm0590122/?ref_=sr_t_1
Ronit Elkabetz,imdb.com/name/nm0253813/?ref_=sr_t_1
Shlomi Elkabetz,imdb.com/name/nm1729095/?ref_=sr_t_1
Gareth Edwards,imdb.com/name/nm2284484/?ref_=sr_t_1
Céline Sciamma,imdb.com/name/nm1780037/?ref_=sr_t_1
Trey Parker,imdb.com/name/nm0005295/?ref_=sr_t_1
Jane Campion,imdb.com/name/nm0001005/?ref_=sr_t_1
Ben Wheatley,imdb.com/name/nm1296554/?ref_=sr_t_1
Shane Black,imdb.com/name/nm0000948/?ref_=sr_t_1
Michael Moore,imdb.com/name/nm0601619/?ref_=sr_t_1
Warwick Thornton,imdb.com/name/nm0861610/?ref_=sr_t_1
Aki Kaurismäki,imdb.com/name/nm0442454/?ref_=sr_t_1
Jean-Claude Brisseau,imdb.com/name/nm0109885/?ref_=sr_t_1
Patrick Wang,imdb.com/name/nm1169526/?ref_=sr_t_1
Pirjo Honkasalo,imdb.com/name/nm0393345/?ref_=sr_t_1
Kleber Mendonça Filho,imdb.com/name/nm2207625/?ref_=sr_t_1
Eran Kolirin,imdb.com/name/nm0464115/?ref_=sr_t_1
Laurent Cantet,imdb.com/name/nm0134559/?ref_=sr_t_1
Agnieszka Holland,imdb.com/name/nm0002140/?ref_=sr_t_1
Kim Jee-woon,imdb.com/name/nm0453518/?ref_=sr_t_1
Anthony,imdb.com/name/nm0000164/?ref_=sr_t_1
Joe Russo,imdb.com/name/nm0751648/?ref_=sr_t_1
Richard Curtis,imdb.com/name/nm0193485/?ref_=sr_t_1
Rob Marshall,imdb.com/name/nm0551128/?ref_=sr_t_1
Christopher Morris,imdb.com/name/nm0606439/?ref_=sr_t_1
Shane Meadows,imdb.com/name/nm0276349/?ref_=sr_t_1
John Carney,imdb.com/name/nm0138809/?ref_=sr_t_1
Stephen Daldry,imdb.com/name/nm0197636/?ref_=sr_t_1
Jiang Wen,imdb.com/name/nm0422638/?ref_=sr_t_1
